DFT DP
-3.178925476074218750e+02 -3.179083847173292270e+02
-3.171283874511718750e+02 -3.171556018026826109e+02
-3.178200073242187500e+02 -3.178516161041695227e+02
-3.177323913574218750e+02 -3.177521785864759067e+02
-3.174984741210937500e+02 -3.175176792896036204e+02
-3.180028991699218750e+02 -3.180243288001466908e+02
-3.159393310546875000e+02 -3.159080313426075577e+02
-3.177311096191406250e+02 -3.177227464831933617e+02
-3.154549255371093750e+02 -3.154167065251599524e+02
-3.161137695312500000e+02 -3.161126893207292596e+02
-3.172317199707031250e+02 -3.172153159106128442e+02
-3.148927917480468750e+02 -3.148710114241863494e+02
-3.178609619140625000e+02 -3.178843336577008358e+02
-3.179078674316406250e+02 -3.179338588594932276e+02
-3.164886474609375000e+02 -3.165121648758801030e+02
-3.167573852539062500e+02 -3.167745667081009060e+02
-3.173004455566406250e+02 -3.173370194824473174e+02
-3.167962646484375000e+02 -3.167972893765189042e+02
-3.168024902343750000e+02 -3.168231332337243202e+02
-3.166516113281250000e+02 -3.166736273546054576e+02
-3.178967895507812500e+02 -3.178775314990409129e+02
-3.177865600585937500e+02 -3.178038185663469335e+02
-3.179461669921875000e+02 -3.179651035282007001e+02
-3.168079833984375000e+02 -3.168181330964644076e+02
-3.180054931640625000e+02 -3.179812461719188263e+02
-3.167520446777343750e+02 -3.167618862139415228e+02
-3.178027038574218750e+02 -3.178023694476136711e+02
-3.165971679687500000e+02 -3.165559651070440168e+02
-3.168614196777343750e+02 -3.168592988321726125e+02
-3.169670410156250000e+02 -3.169822100009245673e+02
-3.172375793457031250e+02 -3.172577045434667298e+02
-3.170662536621093750e+02 -3.170811625357018784e+02
-3.148872375488281250e+02 -3.148854776357688365e+02
-3.168105468750000000e+02 -3.168082797946819937e+02
-3.173805541992187500e+02 -3.173925920202399880e+02
-3.166195678710937500e+02 -3.166163978030041903e+02
-3.160677490234375000e+02 -3.160534576764197254e+02
-3.170698242187500000e+02 -3.170797183686464678e+02
-3.179435119628906250e+02 -3.179621063287073639e+02
-3.178920898437500000e+02 -3.179252287520484970e+02
-3.160986938476562500e+02 -3.161303947268727370e+02
-3.172142333984375000e+02 -3.172297754853157699e+02
-3.162626342773437500e+02 -3.162480489303361537e+02
-3.179161071777343750e+02 -3.179427688950870561e+02
-3.166159057617187500e+02 -3.166267579291687184e+02
-3.177357177734375000e+02 -3.177342642523052518e+02
-3.178634033203125000e+02 -3.178523719775718064e+02
-3.170549926757812500e+02 -3.170884132640955499e+02
-3.179866943359375000e+02 -3.179664570268956822e+02
-3.167626647949218750e+02 -3.167452054277705429e+02
-3.180283508300781250e+02 -3.180278632152300133e+02
-3.161317443847656250e+02 -3.161395946842232547e+02
-3.174831848144531250e+02 -3.175206319686050165e+02
-3.178503723144531250e+02 -3.178753122155011397e+02
-3.179901428222656250e+02 -3.180019933184502747e+02
-3.161591491699218750e+02 -3.161814323580503583e+02
-3.168969726562500000e+02 -3.168833168922778896e+02
-3.167467346191406250e+02 -3.167249470921157695e+02
-3.176572265625000000e+02 -3.176796765555812385e+02
-3.168277587890625000e+02 -3.168125435183998206e+02
-3.179623107910156250e+02 -3.179894436279229240e+02
-3.170086364746093750e+02 -3.169785026953415468e+02
-3.176885986328125000e+02 -3.177082186027778334e+02
-3.176052246093750000e+02 -3.176227659640340448e+02
-3.178027343750000000e+02 -3.178227675483938128e+02
-3.180532531738281250e+02 -3.180692757225839387e+02
-3.167664184570312500e+02 -3.167883774780670478e+02
-3.168640441894531250e+02 -3.168939103446332410e+02
-3.168855590820312500e+02 -3.169041968129549787e+02
-3.160195922851562500e+02 -3.159860647645389236e+02
-3.169408874511718750e+02 -3.169295226169711555e+02
-3.147817077636718750e+02 -3.147811863109734531e+02
-3.178591308593750000e+02 -3.178785918080579904e+02
-3.146933288574218750e+02 -3.147381600490580809e+02
-3.167343750000000000e+02 -3.167586242838103772e+02
-3.156166076660156250e+02 -3.156150877065688292e+02
-3.177885131835937500e+02 -3.178125703043838257e+02
-3.169568481445312500e+02 -3.169555683253827283e+02
-3.178537597656250000e+02 -3.178839935948325319e+02
-3.168040771484375000e+02 -3.168106536308866907e+02
-3.170760803222656250e+02 -3.170548647653813532e+02
-3.168200073242187500e+02 -3.168471465557570355e+02
-3.178626403808593750e+02 -3.178850792004927825e+02
-3.179147949218750000e+02 -3.179311630319538722e+02
-3.171649780273437500e+02 -3.171751345663255961e+02
-3.169170227050781250e+02 -3.169246809529694815e+02
-3.178777160644531250e+02 -3.179059430950426304e+02
-3.171787719726562500e+02 -3.171993503765895639e+02
-3.170283813476562500e+02 -3.170466034233527353e+02
-3.179892272949218750e+02 -3.180120890187670284e+02
-3.179541625976562500e+02 -3.179694728298140944e+02
-3.177541503906250000e+02 -3.177400818846422794e+02
-3.168095092773437500e+02 -3.168171262849558616e+02
-3.171845092773437500e+02 -3.172038768153724959e+02
-3.172973937988281250e+02 -3.173092700036525002e+02
-3.179673156738281250e+02 -3.179835922623179840e+02
-3.179890441894531250e+02 -3.180240441713615951e+02
-3.178795166015625000e+02 -3.178910933803286412e+02
-3.180106811523437500e+02 -3.180163460627539962e+02
-3.168645935058593750e+02 -3.168778762955527100e+02
-3.177758483886718750e+02 -3.177934117501732771e+02
-3.171125183105468750e+02 -3.171151321677833721e+02
-3.169893493652343750e+02 -3.169989047739032912e+02
-3.171828613281250000e+02 -3.172008632430035959e+02
-3.168511657714843750e+02 -3.168510742384202103e+02
-3.166839294433593750e+02 -3.166901438950508236e+02
-3.160246582031250000e+02 -3.160644248839383863e+02
-3.173644714355468750e+02 -3.173820031632574796e+02
-3.170239868164062500e+02 -3.170302889841395881e+02
-3.180123596191406250e+02 -3.179936157066682654e+02
-3.169639282226562500e+02 -3.169489895916410092e+02
-3.171139526367187500e+02 -3.171291393626491981e+02
-3.176991577148437500e+02 -3.177165109118627697e+02
-3.178659057617187500e+02 -3.178660475800841141e+02
-3.166992492675781250e+02 -3.167237382591418395e+02
-3.179598083496093750e+02 -3.179848462013881090e+02
-3.169054565429687500e+02 -3.169404147885691145e+02
-3.179033813476562500e+02 -3.179287855679965560e+02
-3.168175659179687500e+02 -3.168410675663985785e+02
-3.179996948242187500e+02 -3.180093856879667555e+02
-3.168034667968750000e+02 -3.168350535769463363e+02
-3.168362426757812500e+02 -3.168399725401175715e+02
-3.180101318359375000e+02 -3.180455427110171058e+02
-3.160107116699218750e+02 -3.160487936309370980e+02
-3.162707519531250000e+02 -3.162475011960889333e+02
-3.177887878417968750e+02 -3.178180929250700046e+02
-3.166222534179687500e+02 -3.166573186215934470e+02
-3.177267761230468750e+02 -3.177334980485941855e+02
-3.169084777832031250e+02 -3.169391927295505411e+02
-3.178172302246093750e+02 -3.178488705043611731e+02
-3.178586425781250000e+02 -3.178790832788054672e+02
-3.165874023437500000e+02 -3.165733129698413677e+02
-3.168007202148437500e+02 -3.167785454214362062e+02
-3.178911132812500000e+02 -3.178760622748061451e+02
-3.171523437500000000e+02 -3.171496169705542343e+02
-3.152613830566406250e+02 -3.152819053977399903e+02
-3.168222045898437500e+02 -3.168120738129687197e+02
-3.167740478515625000e+02 -3.167750680269589338e+02
-3.179624633789062500e+02 -3.179930843402559049e+02
-3.180008239746093750e+02 -3.180118537061378561e+02
-3.168164672851562500e+02 -3.168424741828939091e+02
-3.168866271972656250e+02 -3.168589324861525256e+02
-3.180346069335937500e+02 -3.180523116615371464e+02
-3.178190002441406250e+02 -3.178435370242243607e+02
-3.169309997558593750e+02 -3.169575501946964096e+02
-3.168362426757812500e+02 -3.168584636494593383e+02
-3.178551330566406250e+02 -3.178432139747600331e+02
-3.177918395996093750e+02 -3.178190242130216348e+02
-3.167984619140625000e+02 -3.168001948524308204e+02
