  a     b    E1min   energy   E2min   energy    E3min   energy    E4min   energy
3.932 3.932   C -39.82319749  B -39.82318969  D -39.82318001  A -39.80607845
3.934 3.932   C -39.82269829  B -39.82269032  D -39.82267925  A -39.80654583
3.934 3.934   C -39.82219048  B -39.82218329  D -39.82217378  A -39.80699103
3.936 3.932   C -39.82217366  B -39.82216669  A -39.80701767  D -39.80617551
3.936 3.934   C -39.82166475  B -39.82165749  D -39.82164808  A -39.80743545
3.936 3.936   C -39.82113095  B -39.82112164  D -39.82111390  A -39.80785288
3.938 3.932   C -39.82162877  B -39.82162183  D -39.82161191  A -39.80748902
3.938 3.934   C -39.82111254  B -39.82110541  D -39.82109367  A -39.80787696
3.938 3.936   C -39.82057393  B -39.82056476  D -39.82055536  A -39.80826799
3.938 3.938   C -39.82001958  B -39.82001190  D -39.82000381  A -39.80866796
3.940 3.932   C -39.82106119  B -39.82105359  D -39.82104282  A -39.80795756
3.940 3.934   C -39.82054398  B -39.82053744  D -39.82052614  A -39.80832550
3.940 3.936   C -39.82000188  B -39.81999468  D -39.80869497  A -39.80869151
3.940 3.938   C -39.81943934  D -39.81942271  A -39.80905734  B -39.80501829
3.940 3.940   C -39.81885238  B -39.81884166  D -39.81883608  A -39.80942643
3.942 3.932   C -39.82047615  B -39.82046939  D -39.82046001  A -39.80843568
3.942 3.934   C -39.81995611  D -39.81993765  A -39.80877451  B -39.80585959
3.942 3.936   C -39.81941308  B -39.81940661  D -39.81939639  A -39.80911613
3.942 3.938   C -39.81884473  B -39.81883535  D -39.81882645  A -39.80945899
3.942 3.940   C -39.81825066  B -39.81823913  D -39.81783656  A -39.80980313
3.942 3.942   C -39.81763478  B -39.81762649  D -39.81729555  A -39.81015197
3.944 3.932   C -39.81988361  B -39.81987750  D -39.81986542  A -39.80891879
3.944 3.934   C -39.81935586  B -39.81934544  D -39.81934004  A -39.80923264
3.944 3.936   C -39.81880208  B -39.81879515  D -39.81878357  A -39.80954994
3.944 3.938   C -39.81822190  B -39.81821503  D -39.81820644  A -39.80986364
3.944 3.940   C -39.81762719  B -39.81762071  D -39.81730442  A -39.81018586
3.944 3.942   C -39.81701827  B -39.81701164  D -39.81660939  A -39.81050738
3.944 3.944   C -39.81639260  B -39.81638390  D -39.81612355  A -39.81084209
3.946 3.932   C -39.81926771  B -39.81926200  D -39.81925066  A -39.80940442
3.946 3.934   C -39.81873796  B -39.81873243  D -39.81872145  A -39.80969845
3.946 3.936   C -39.81817333  B -39.81816828  D -39.81816027  A -39.80998501
3.946 3.938   C -39.81759123  B -39.81758529  D -39.81730308  A -39.81027911
3.946 3.940   C -39.81699330  B -39.81698493  D -39.81688447  A -39.81057047
3.946 3.942   C -39.81638681  B -39.81637953  D -39.81604906  A -39.81087403
3.946 3.944   C -39.81575812  B -39.81575186  D -39.81548108  A -39.81117956
3.946 3.946   C -39.81512553  B -39.81464412  D -39.81270693  A -39.81150345
3.948 3.932   C -39.81863493  D -39.81861942  A -39.80988909  B -39.80799776
3.948 3.934   C -39.81808901  B -39.81808258  D -39.81807383  A -39.81015696
3.948 3.936   C -39.81751873  D -39.81750673  B -39.81653876  A -39.81041901
3.948 3.938   C -39.81694420  B -39.81694041  D -39.81678105  A -39.81069001
3.948 3.940   C -39.81634680  B -39.81634063  D -39.81597486  A -39.81096530
3.948 3.942   C -39.81572422  B -39.81571775  D -39.81531296  A -39.81123346
3.948 3.944   C -39.81510036  B -39.81509581  D -39.81270608  A -39.81152193
3.948 3.946   C -39.81445534  B -39.81444874  D -39.81267422  A -39.81180771
3.948 3.948   C -39.81378354  B -39.81377761  D -39.81272987  A -39.81210021
3.950 3.932   C -39.81797858  B -39.81796547  D -39.81795467  A -39.81037413
3.950 3.934   D -39.81771113  C -39.81742642  B -39.81741802  A -39.81061350
3.950 3.936   C -39.81685906  B -39.81685005  D -39.81664395  A -39.81085482
3.950 3.938   C -39.81627868  B -39.81626394  D -39.81587330  A -39.81110330
3.950 3.940   C -39.81567746  B -39.81566787  D -39.81511917  A -39.81134762
3.950 3.942   C -39.81504918  B -39.81504606  D -39.81273055  A -39.81160190
3.950 3.944   C -39.81441847  B -39.81441495  D -39.81270422  A -39.81186261
3.950 3.946   C -39.81377192  B -39.81376545  D -39.81275407  A -39.81212913
3.950 3.948   C -39.81309472  D -39.81282645  B -39.81258925  A -39.81238942
3.950 3.950   D -39.81295658  A -39.81266515  B -39.81240061  C -39.81236178
3.952 3.932   C -39.81730554  B -39.81729544  D -39.81718370  A -39.81086660
3.952 3.934   C -39.81675711  D -39.81674381  B -39.81619361  A -39.81108635
3.952 3.936   C -39.81618457  B -39.81617233  D -39.81579592  A -39.81129918
3.952 3.938   C -39.81560023  B -39.81558475  D -39.81521714  A -39.81152517
3.952 3.940   C -39.81499423  B -39.81498488  D -39.81279516  A -39.81175138
3.952 3.942   C -39.81436923  B -39.81435698  D -39.81275360  A -39.81197846
3.952 3.944   C -39.81374149  B -39.81372011  D -39.81280584  A -39.81222056
3.952 3.946   C -39.81308853  B -39.81308011  D -39.81287697  A -39.81246420
3.952 3.948   D -39.81297676  A -39.81269680  C -39.81238270  B -39.81188415
3.952 3.950   D -39.81311327  A -39.81294010  C -39.81166364  B -39.80790076
3.952 3.952   D -39.81328618  A -39.81319286  C -39.81094747  B -39.81045831
3.954 3.932   C -39.81661042  B -39.81659708  D -39.81622092  A -39.81135247
3.954 3.934   C -39.81605732  D -39.81565146  A -39.81154780  B -39.80992240
3.954 3.936   C -39.81548382  B -39.81547036  D -39.81299322  A -39.81174134
